location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
Afghanistan,2020-02-24,1.0,1.0,,,,,,,,,
Afghanistan,2020-02-25,1.0,0.0,,,,,,,,,
Afghanistan,2020-02-26,1.0,0.0,,,,,,,,,
Afghanistan,2020-02-27,1.0,0.0,,,,,,,,,
Afghanistan,2020-02-28,1.0,0.0,,,,,,,,,
Afghanistan,2020-02-29,1.0,0.0,,,,,,,,,
Afghanistan,2020-03-01,1.0,0.0,,,,,,,,,
Afghanistan,2020-03-02,1.0,0.0,,,,,,,,,
Afghanistan,2020-03-03,2.0,1.0,,,,,,,,,
Afghanistan,2020-03-04,4.0,2.0,,,,,,,,,
Afghanistan,2020-03-05,4.0,0.0,,,,,,,,,
Afghanistan,2020-03-06,4.0,0.0,,,,,,,,,
Afghanistan,2020-03-07,4.0,0.0,,,,,,,,,
Afghanistan,2020-03-08,5.0,1.0,,,,,,,,,
Afghanistan,2020-03-09,7.0,2.0,,,,,,,,,
Afghanistan,2020-03-10,8.0,1.0,,,,,,,,,
Afghanistan,2020-03-11,11.0,3.0,,,,,,,,,
Afghanistan,2020-03-12,12.0,1.0,,,,,,,,,
Afghanistan,2020-03-13,13.0,1.0,,,,,,,,,
Afghanistan,2020-03-14,15.0,2.0,,,,,,,,,
Afghanistan,2020-03-15,16.0,1.0,,,,,,,,,
Afghanistan,2020-03-16,18.0,2.0,,,,,,,,,
Afghanistan,2020-03-17,20.0,2.0,,,,,,,,,
Afghanistan,2020-03-18,24.0,4.0,,,,,,,,,
Afghanistan,2020-03-19,25.0,1.0,,,,,,,,,
Afghanistan,2020-03-20,29.0,4.0,,,,,,,,,
Afghanistan,2020-03-21,30.0,1.0,,,,,,,,,
Afghanistan,2020-03-22,34.0,4.0,1.0,1.0,,,,,,,
Afghanistan,2020-03-23,41.0,7.0,1.0,0.0,,,,,,,
Afghanistan,2020-03-24,43.0,2.0,1.0,0.0,,,,,,,
Afghanistan,2020-03-25,76.0,33.0,2.0,1.0,,,,,,,
