location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
Albania,2020-02-25,,,,,8.0,8.0,,,,,
Albania,2020-02-26,,,,,5.0,13.0,,,,,
Albania,2020-02-27,,,,,4.0,17.0,,,,,
Albania,2020-02-28,,,,,1.0,18.0,,,,,
Albania,2020-02-29,,,,,8.0,26.0,,,,,
Albania,2020-03-01,,,,,3.0,29.0,,,,,
Albania,2020-03-02,,,,,2.0,31.0,,,,,
Albania,2020-03-03,,,,,5.0,36.0,,,,,
Albania,2020-03-04,,,,,6.0,42.0,,,,,
Albania,2020-03-05,,,,,8.0,50.0,,,,,
Albania,2020-03-06,,,,,3.0,53.0,,,,,
Albania,2020-03-07,,,,,5.0,58.0,,,,,
Albania,2020-03-08,,,,,1.0,59.0,,,,,
Albania,2020-03-09,2.0,2.0,,,18.0,77.0,,,,,
Albania,2020-03-10,10.0,8.0,,,37.0,114.0,,,,,
Albania,2020-03-11,12.0,2.0,1.0,1.0,43.0,157.0,,,,,
Albania,2020-03-12,23.0,11.0,1.0,0.0,141.0,298.0,,,,,
Albania,2020-03-13,33.0,10.0,1.0,0.0,159.0,457.0,,,,,
Albania,2020-03-14,38.0,5.0,1.0,0.0,48.0,505.0,0.085,11.8,,,
Albania,2020-03-15,42.0,4.0,1.0,0.0,27.0,532.0,0.088,11.3,,,
Albania,2020-03-16,51.0,9.0,1.0,0.0,31.0,563.0,0.101,9.9,,,
Albania,2020-03-17,55.0,4.0,1.0,0.0,42.0,605.0,0.092,10.9,,,
Albania,2020-03-18,59.0,4.0,2.0,1.0,60.0,665.0,0.092,10.9,,,
Albania,2020-03-19,64.0,5.0,2.0,0.0,32.0,697.0,0.103,9.7,,,
Albania,2020-03-20,70.0,6.0,2.0,0.0,35.0,732.0,0.136,7.4,,,
Albania,2020-03-21,76.0,6.0,2.0,0.0,46.0,778.0,0.139,7.2,,,
Albania,2020-03-22,89.0,13.0,2.0,0.0,33.0,811.0,0.168,6.0,,,
Albania,2020-03-23,104.0,15.0,4.0,2.0,,,0.185,5.4,,,
Albania,2020-03-24,123.0,19.0,5.0,1.0,,,0.243,4.1,,,
Albania,2020-03-25,146.0,23.0,5.0,0.0,111.0,922.0,0.336,3.0,,,
Albania,2020-03-26,174.0,28.0,6.0,1.0,103.0,1025.0,0.334,3.0,,,
Albania,2020-03-27,186.0,12.0,8.0,2.0,102.0,1127.0,0.296,3.4,,,
Albania,2020-03-28,197.0,11.0,10.0,2.0,79.0,1206.0,0.283,3.5,,,
Albania,2020-03-29,212.0,15.0,10.0,0.0,111.0,1317.0,0.244,4.1,,,
Albania,2020-03-30,223.0,11.0,11.0,1.0,90.0,1407.0,0.212,4.7,,,
Albania,2020-03-31,243.0,20.0,15.0,4.0,145.0,1552.0,0.18,5.5,,,
