location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
Australia,2020-01-26,4.0,4.0,,,,,,,,,
Australia,2020-01-27,5.0,1.0,,,,,,,,,
Australia,2020-01-28,5.0,0.0,,,,,,,,,
Australia,2020-01-29,6.0,1.0,,,,,,,,,
Australia,2020-01-30,9.0,3.0,,,,,,,,,
Australia,2020-01-31,9.0,0.0,,,,,,,,,
Australia,2020-02-01,12.0,3.0,,,,,,,,,
Australia,2020-02-02,12.0,0.0,,,,,,,,,
Australia,2020-02-03,12.0,0.0,,,,,,,,,
Australia,2020-02-04,13.0,1.0,,,,,,,,,
Australia,2020-02-05,13.0,0.0,,,,,,,,,
Australia,2020-02-06,14.0,1.0,,,,,,,,,
Australia,2020-02-07,15.0,1.0,,,,,,,,,
Australia,2020-02-08,15.0,0.0,,,,,,,,,
Australia,2020-02-09,15.0,0.0,,,,,,,,,
Australia,2020-02-10,15.0,0.0,,,,,,,,,
Australia,2020-02-11,15.0,0.0,,,,,,,,,
Australia,2020-02-12,15.0,0.0,,,,,,,,,
Australia,2020-02-13,15.0,0.0,,,,,,,,,
Australia,2020-02-14,15.0,0.0,,,,,,,,,
Australia,2020-02-15,15.0,0.0,,,,,,,,,
Australia,2020-02-16,15.0,0.0,,,,,,,,,
Australia,2020-02-17,15.0,0.0,,,,,,,,,
Australia,2020-02-18,15.0,0.0,,,,,,,,,
Australia,2020-02-19,15.0,0.0,,,,,,,,,
Australia,2020-02-20,15.0,0.0,,,,,,,,,
Australia,2020-02-21,15.0,0.0,,,,,,,,,
Australia,2020-02-22,15.0,0.0,,,,,,,,,
Australia,2020-02-23,15.0,0.0,,,,,,,,,
Australia,2020-02-24,15.0,0.0,,,,,,,,,
Australia,2020-02-25,15.0,0.0,,,,,,,,,
Australia,2020-02-26,15.0,0.0,,,,,,,,,
Australia,2020-02-27,15.0,0.0,,,,,,,,,
Australia,2020-02-28,15.0,0.0,,,,,,,,,
Australia,2020-02-29,25.0,10.0,,,,,,,,,
Australia,2020-03-01,27.0,2.0,1.0,1.0,,,,,,,
Australia,2020-03-02,30.0,3.0,1.0,0.0,,,,,,,
