location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
Argentina,2020-01-01,,,,,1.0,1.0,,,,,
Argentina,2020-01-02,,,,,36.0,37.0,,,,,
Argentina,2020-01-03,,,,,4.0,41.0,,,,,
Argentina,2020-01-04,,,,,65.0,106.0,,,,,
Argentina,2020-01-05,,,,,4.0,110.0,,,,,
Argentina,2020-01-06,,,,,46.0,156.0,,,,,
Argentina,2020-01-07,,,,,24.0,180.0,0.067,14.9,,,
Argentina,2020-01-08,,,,,,,,,,,
Argentina,2020-01-09,,,,,,,,,,,
Argentina,2020-01-10,,,,,77.0,257.0,0.047,21.3,,,
Argentina,2020-01-11,,,,,,,,,,,
Argentina,2020-01-12,,,,,36.0,293.0,0.023,43.5,,,
Argentina,2020-01-13,,,,,2.0,295.0,0.024,41.7,,,
Argentina,2020-01-14,,,,,,,,,,,
Argentina,2020-01-15,,,,,64.0,359.0,0.016,62.5,,,
Argentina,2020-01-16,,,,,1.0,360.0,0.016,62.5,,,
Argentina,2020-01-17,,,,,,,,,,,
Argentina,2020-01-18,,,,,,,,,,,
Argentina,2020-01-19,,,,,35.0,395.0,0.046,21.7,,,
Argentina,2020-01-20,,,,,1.0,396.0,0.046,21.7,,,
Argentina,2020-01-21,,,,,,,,,,,
Argentina,2020-01-22,,,,,,,,,,,
Argentina,2020-01-23,,,,,,,,,,,
Argentina,2020-01-24,,,,,,,,,,,
Argentina,2020-01-25,,,,,,,,,,,
Argentina,2020-01-26,,,,,,,,,,,
Argentina,2020-01-27,,,,,19.0,415.0,0.063,15.9,,,
Argentina,2020-01-28,,,,,,,,,,,
Argentina,2020-01-29,,,,,1.0,416.0,0.089,11.2,,,
Argentina,2020-01-30,,,,,15.0,431.0,0.081,12.3,,,
Argentina,2020-01-31,,,,,1.0,432.0,0.151,6.6,,,
Argentina,2020-02-01,,,,,37.0,469.0,0.101,9.9,,,
Argentina,2020-02-02,,,,,,,,,,,
Argentina,2020-02-03,,,,,,,,,,,
Argentina,2020-02-04,,,,,,,,,,,
Argentina,2020-02-05,,,,,,,,,,,
Argentina,2020-02-06,,,,,,,,,,,
Argentina,2020-02-07,,,,,,,,,,,
Argentina,2020-02-08,,,,,,,,,,,
Argentina,2020-02-09,,,,,,,,,,,
Argentina,2020-02-10,,,,,,,,,,,
Argentina,2020-02-11,,,,,2.0,471.0,0.013,76.9,,,
Argentina,2020-02-12,,,,,7.0,478.0,0.012,83.3,,,
Argentina,2020-02-13,,,,,,,,,,,
Argentina,2020-02-14,,,,,,,,,,,
Argentina,2020-02-15,,,,,,,,,,,
Argentina,2020-02-16,,,,,,,,,,,
Argentina,2020-02-17,,,,,,,,,,,
Argentina,2020-02-18,,,,,,,,,,,
Argentina,2020-02-19,,,,,,,,,,,
Argentina,2020-02-20,,,,,2.0,480.0,0.015,66.7,,,
Argentina,2020-02-21,,,,,,,,,,,
Argentina,2020-02-22,,,,,,,,,,,
Argentina,2020-02-23,,,,,,,,,,,
Argentina,2020-02-24,,,,,1.0,481.0,0.015,66.7,,,
Argentina,2020-02-25,,,,,20.0,501.0,0.014,71.4,,,
Argentina,2020-02-26,,,,,,,,,,,
Argentina,2020-02-27,,,,,5.0,506.0,0.014,71.4,,,
Argentina,2020-02-28,,,,,11.0,517.0,0.021,47.6,,,
Argentina,2020-02-29,,,,,,,,,,,
Argentina,2020-03-01,,,,,,,,,,,
Argentina,2020-03-02,,,,,6.0,523.0,0.019,52.6,,,
Argentina,2020-03-03,1.0,1.0,,,8.0,531.0,0.038,26.3,,,
Argentina,2020-03-04,1.0,0.0,,,6.0,537.0,0.035,28.6,,,
Argentina,2020-03-05,1.0,0.0,,,7.0,544.0,0.016,62.5,,,
